Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-08-24,107.5,107.5,107.5,107.5,75,0,0
1995-08-25,100.0,107.5,100.0,100.0,225,0,0
1995-08-28,100.0,100.0,100.0,100.0,10,0,0
1995-08-29,107.5,107.5,107.5,107.5,835,0,0
1995-08-31,107.5,107.5,107.5,107.5,65,0,0
1995-09-05,107.5,107.5,107.5,107.5,130,0,0
1995-09-06,107.5,107.5,100.0,107.5,260,0,0
1995-09-07,100.0,107.5,100.0,100.0,105,0,0
1995-09-08,107.5,107.5,107.5,107.5,25,0,0
1995-09-11,100.0,107.5,100.0,100.0,40,0,0
1995-09-12,100.0,100.0,100.0,100.0,50,0,0
1995-09-13,100.0,107.5,100.0,100.0,85,0,0
1995-09-15,100.0,100.0,100.0,100.0,250,0,0
1995-09-19,100.0,100.0,100.0,100.0,50,0,0
1995-09-20,100.0,100.0,100.0,100.0,50,0,0
1995-09-21,100.0,100.0,100.0,100.0,170,0,0
1995-09-22,107.5,107.5,107.5,107.5,20,0,0
1995-09-25,100.0,100.0,100.0,100.0,50,0,0
1995-09-26,100.0,107.5,100.0,100.0,135,0,0
1995-09-27,100.0,100.0,100.0,100.0,50,0,0
1995-09-28,97.5,97.5,97.5,97.5,95,0,0
1995-09-29,97.5,97.5,97.5,97.5,35,0,0
1995-10-02,107.5,107.5,97.5,107.5,105,0,0
1995-10-03,107.5,107.5,107.5,107.5,20,0,0
1995-10-06,95.0,97.5,95.0,95.0,230,0,0
1995-10-09,102.5,102.5,102.5,102.5,200,0,0
1995-10-11,95.0,95.0,95.0,95.0,10,0,0
1995-10-12,102.5,102.5,102.5,102.5,300,0,0
1995-10-13,102.5,102.5,95.0,102.5,385,0,0
1995-10-16,95.0,95.0,95.0,95.0,85,0,0
1995-10-17,95.0,102.5,95.0,95.0,85,0,0
1995-10-19,95.0,95.0,95.0,95.0,150,0,0
1995-10-20,95.0,95.0,95.0,95.0,350,0,0
1995-10-23,92.5,100.0,92.5,92.5,65,0,0
1995-10-24,92.5,92.5,92.5,92.5,100,0,0
1995-10-25,90.0,90.0,90.0,90.0,5,0,0
1995-10-30,90.0,90.0,90.0,90.0,75,0,0
1995-10-31,92.5,92.5,92.5,92.5,75,0,0
1995-11-01,67.5,80.0,55.0,67.5,1300,0,0
1995-11-02,66.55999755859375,67.5,61.2599983215332,66.55999755859375,455,0,0
1995-11-03,55.0,61.2599983215332,55.0,55.0,670,0,0
1995-11-06,62.5,62.5,60.0,62.5,200,0,0
1995-11-07,70.0,70.0,55.0,70.0,390,0,0
1995-11-08,62.5,70.0,55.0,62.5,1960,0,0
1995-11-09,60.0,60.0,50.0,60.0,1545,0,0
1995-11-10,55.0,60.0,50.0,55.0,900,0,0
1995-11-13,61.2599983215332,65.0,55.0,61.2599983215332,1025,0,0
1995-11-14,61.2599983215332,61.2599983215332,50.0,61.2599983215332,575,0,0
1995-11-15,55.0,65.0,52.5,55.0,470,0,0
1995-11-16,52.5,52.5,52.5,52.5,25,0,0
1995-11-17,60.0,67.5,52.5,60.0,270,0,0
1995-11-20,60.0,67.5,52.5,60.0,730,0,0
1995-11-21,62.5,62.5,57.5,62.5,650,0,0
1995-11-22,60.0,60.0,60.0,60.0,160,0,0
1995-11-27,60.0,62.5,60.0,60.0,645,0,0
1995-11-28,60.0,62.5,55.0,60.0,730,0,0
1995-11-29,60.0,60.0,60.0,60.0,40,0,0
1995-11-30,60.0,60.0,57.5,60.0,175,0,0
1995-12-01,55.0,57.5,55.0,55.0,95,0,0
1995-12-04,60.0,60.0,55.0,60.0,385,0,0
1995-12-05,55.0,55.0,55.0,55.0,5,0,0
1995-12-06,67.5,67.5,67.5,67.5,370,0,0
1995-12-07,55.0,56.2599983215332,52.5,55.0,3500,0,0
1995-12-08,62.5,62.5,52.5,62.5,3925,0,0
1995-12-11,60.0,60.0,52.5,60.0,200,0,0
1995-12-12,61.2599983215332,61.2599983215332,57.5,61.2599983215332,875,0,0
1995-12-13,52.5,62.5,52.5,52.5,105,0,0
1995-12-14,52.5,57.5,52.5,52.5,80,0,0
1995-12-15,62.5,62.5,52.5,62.5,115,0,0
1995-12-18,57.5,57.5,55.939998626708984,57.5,200,0,0
1995-12-19,57.5,62.5,57.5,57.5,500,0,0
1995-12-20,57.5,57.5,57.5,57.5,1000,0,0
1995-12-21,60.0,61.2599983215332,52.5,60.0,1725,0,0
1995-12-22,60.31999969482422,60.31999969482422,60.31999969482422,60.31999969482422,100,0,0
1995-12-27,60.0,62.5,52.5,60.0,2200,0,0
1995-12-28,57.5,67.5,52.5,57.5,2405,0,0
1995-12-29,52.5,67.5,52.5,52.5,1285,0,0
1996-01-02,67.5,67.5,55.0,67.5,300,0,0
1996-01-03,62.5,62.5,55.0,62.5,350,0,0
1996-01-04,62.5,67.5,55.0,62.5,790,0,0
1996-01-05,62.5,62.5,62.5,62.5,285,0,0
1996-01-08,80.0,80.0,70.0,80.0,1265,0,0
1996-01-09,82.5,85.0,72.5,82.5,1610,0,0
1996-01-10,85.0,85.0,85.0,85.0,385,0,0
1996-01-11,80.0,85.0,80.0,80.0,525,0,0
1996-01-12,85.0,85.0,85.0,85.0,55,0,0
1996-01-15,90.0,90.0,90.0,90.0,25,0,0
1996-01-16,90.0,90.0,90.0,90.0,100,0,0
1996-01-17,90.0,90.0,90.0,90.0,15,0,0
1996-01-18,82.5,90.0,82.5,82.5,150,0,0
1996-01-19,82.5,82.5,82.5,82.5,250,0,0
1996-01-22,82.5,82.5,82.5,82.5,250,0,0
1996-01-23,90.0,90.0,90.0,90.0,195,0,0
1996-01-24,77.5,77.5,77.5,77.5,5,0,0
1996-01-25,85.0,90.0,82.5,85.0,325,0,0
1996-01-26,87.5,90.0,82.5,87.5,1550,0,0
1996-01-29,87.5,87.5,87.5,87.5,1500,0,0
1996-01-31,90.0,90.0,87.5,90.0,870,0,0
1996-02-01,90.0,90.0,87.5,90.0,1970,0,0
1996-02-02,90.0,90.0,87.5,90.0,275,0,0
1996-02-05,95.0,95.0,90.0,95.0,470,0,0
1996-02-06,90.0,90.0,90.0,90.0,310,0,0
1996-02-07,90.0,95.0,90.0,90.0,200,0,0
1996-02-08,90.0,95.0,90.0,90.0,275,0,0
1996-02-09,95.0,95.0,90.0,95.0,110,0,0
1996-02-12,95.0,95.0,95.0,95.0,120,0,0
1996-02-13,90.0,97.5,90.0,90.0,425,0,0
1996-02-14,90.0,95.0,90.0,90.0,1580,0,0
1996-02-15,95.0,95.0,90.0,95.0,280,0,0
1996-02-16,95.0,95.0,90.0,95.0,4300,0,0
1996-02-20,95.0,95.0,90.0,95.0,65,0,0
1996-02-21,102.5,105.0,90.0,102.5,1040,0,0
1996-02-22,117.5,117.5,105.0,117.5,7455,0,0
1996-02-23,115.0,117.5,107.5,115.0,610,0,0
1996-02-26,107.5,117.5,107.5,107.5,1660,0,0
1996-02-27,107.5,115.0,107.5,107.5,6670,0,0
1996-02-28,110.0,115.0,107.5,110.0,3890,0,0
1996-02-29,107.5,115.0,107.5,107.5,960,0,0
