0
""
STRT
SNCY
BCML
CNR.1
EMCO.
KERN
ABIO
CKCM
MG
RESI.1
GCTY.1
TKN.1
HUT
GNL
NFX
STU.2
FCLX
PIPR
SCWX
CB
3DYPR
ANAT
CDZI
MBIA.1
ACV.1
PCBK
ATRS.
ZD.1
EASY
CRCT
LNG
FI
TCPC
CRK
JANNF
GMI.1
CVAC
SY.1
ACCO
DPI.UN
CINF
CTFO
TVTY
VLCN
TBOW
TFG.Z
PFBC
VTTI
MCC.3
EGLE
ENDO.1
LBPH
SKIL.1
CASS
FCSC
GRDG.1
HNST
TRIP
FCF
ROOM.
ELSE
BRDS
ATAC.2
IPOF
SQZ
CSR.
FET
QTRX
CBU
INET.1
SKYT.
VRC.Z
ODV
IVDA
EFU.1
BOOL
GSBC
MPE.1
PSTG
HDNG
HLP.1
MEIP
JEFF
HTWO
BXMT
AVNU
SLDP
EDTX.1
EEFT
BIOV.1
YFED
YMTX
MTA.2
SRVA
TRI
ROKU
BEX.1
RCPT
HELX.1
FCE.A
CRB.5
CBAY
CSQ.2
ABT
AR.2
HXF
AGE
KYF
ECH.Z
SRM
UPCS
OZN
GTS
ILXI
WW
CBI
MEDC.
DCI
CAFI.
UTC.2
FCBC
ZNTL
APIC
GTRC
RFP
WALB
VOLT
ROIC
CRK.5
VSPR
CIC.1
BED
LEVL.
PGX.Z
PERI
WRD
BWL.A
TTI
IRC
CEQP
HTRN
EVR
MCHP
WBMD.1
BSIG
DOCC
PAYO
TRHC
CYL..
RMPO
HBG
LNN
SSI.2
ESCO.1
COOP
BMTC
ADAT.1
BATL
PCOM
FQE.
PWJ.
SCTY.1
TPST
MSCA.1
VTRO.1
PGL.Z
CNXM
FSCI
ICST
CME
KINS
GR
PRDO
PETV
IPW.
EPC
TOG.Z
ZNT
ONTC.
BOY.1
BRNC
BTG
PAMT.1
HUM
CZFS
VKTX
HGEN
RBOW.2
DFZ
SHBK
ANVS
FFWM
MDCI
IMDZ
TUNE
RJI.1
AVO
UNH.
BRLT
NTN
WHIT
CDT.1
TTEC
WH
ENOC
MN
AUD
PRK.Z
LABN
UUU
FRH
TLS
FBK.1
VAC
USWS
SYK
INFO
ELMG
LRN
CNSL
SEEL
SHA.2
OPCH
AXG
ECP.1
LYNXD
RSTI
UAMY
FBBC
HALL
CGEN
CVT
3NMPCQ
ADIC
CSPI
IINT
ETRC
PSAI
RGC
ARCC.1
ONTX
EXC
KALU
HMTV
CMZ.UN
VRK.Z
ASTL
DOSE
LOCK
AIR
XMTR
AFCO
SCIO.
ORGN
TWF.UN
U
PASG
BKB.2
CAI
AHL
TSK.Z
SUN
CPS.1
CPNO
CTO
AUXL
ANNX
CABG
ETFC
MMTM.1
SDW
CHEF
CCN.2
UTZ
RC
HHHH
WDC
FRTE.1
AQN
SLG
SRCH.1
CUSM
GARS
HMR
TACO.2
3WTXIQ
ITRI
LBRT
AAPL
UCC.2
DTC
KLXI
AXDX
NAV
GNCMA
QES
SG.4
TLIS
LWSN
MOGO
ADPT
NTB
SUGN
PKOH
RML.1
MWV
PCCI.
FORE.1
BRMK
BGC.3
ICLK.1
UQM
FNDT
USLM
TLCR
LEAF
CONE
ZIP
USAD
SMNS
VRTX
CFBC
RDVT
USLB.1
ORCC.1
SMBC
AIC.3
EMAN
VVV
ECA.2
ZNGN
PHUN
ROST
CAER
CYNO
RE
NVT.1
WU
LIND
HOG
CFK
WPP
PLXS
CBJ.1
BIOI.
IMI
AWRE
SOCB
VSTH.
MONE.1
MSGN
MAGI.
TUTS
SGV.Z
ATSC
MCD
EXNT.1
FITB
MIME
AGRI
URGI
AEA
TTC
XONE.1
CAE
CVX
BTCS
CXW
LICB
ABBC
INUV
FHTX
NVX.1
SGK
TBLA
AHII.
MBI
