Ticker,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HCMC,8.9405798279344e+17,4.4702899139672e+18,6.889873173032534e+18,2.6134001397932e+18,2.4946093401692e+18,2.1753951043151786e+19,2.8767520211189335e+18,2.568398335618467e+17,33974201.80840612,33974201.80840612,33974201.80840612,33974201.80840612,33974201.80840612,101922612.84105209,
VIR,,,,,,,,,,,,1645815975.036621,3504966489.868164,5479945460.205078,
ABOS,,,,,,,,,,,,,,273800962.95376855,
SBT,,,,,,,,,,635025936.5877815,348725514.0597244,408066192.78594446,229038904.284568,290082315.1326053,
OLMA,,,,,,,,,,,,,1937027984.6137223,377091942.1897398,
INNV,,,,,,,,,,,,,,677584978.5123967,
ALRS,94384619.35644935,91238596.11825703,107308303.54601678,116188549.56514093,144800912.3642214,244363555.48756096,289739807.7719357,283217483.2191604,261268152.22962356,322087936.7505692,310219195.94645065,378426374.0225077,466538262.55935067,503853190.31048846,
PGOL,4834725.050973837,16363685.299459523,8925646.375838712,8925646.375838712,17033109.040881537,4470261.352641176,4685964.527422873,5950430.917225808,5950430.917225808,5366544.961750539,4834725.050973837,3719019.4618103974,11038049.135324815,4462823.187919352,
EQT,6149111697.127066,8237819695.1877365,8594736181.061535,10671988485.213411,11677772602.474045,17804456630.279068,15030774406.84025,10366701559.597244,13029545204.60392,11362228826.25475,6951641772.087201,4044344749.638462,4742877150.284982,8138642264.868908,
PMTS,,,,,,,,561900521.4053175,226746005.02907145,41307686.26585452,25775094.824675757,10129949.831488622,49411643.98422915,208789518.47056177,
TRUE,,,,,,,2196616015.86764,915096814.701518,1199026229.5081968,1074327483.343656,869054251.3980553,455629967.21311474,402872794.8190658,326135143.57407373,
XGN,,,,,,,,,,,,410570673.8338471,213367436.91692352,187989647.8498459,
MKL,4086791677.571198,4647187860.783302,5168356377.909815,5667792507.741812,5924071250.064421,7932339298.673101,9333193775.469643,12073803774.606457,12362886529.642637,15569856266.310087,14188275252.351696,15625076326.569912,14123351304.296635,16866558294.725279,
INVA,645959795.0301648,681411898.7532555,1307038829.6306205,1152196121.326755,1159495288.5243597,1858633272.275622,942587325.0657916,732447748.9642135,743566489.8082138,986094239.8549708,1212638882.7796311,984009492.5149515,861008339.0870441,1198740390.4517076,
PHM,2426930029.240773,2220429738.112313,1669762938.9883773,1401091096.1750858,4032299529.371847,4562160704.502048,4861823309.834308,4105477173.329619,4316518787.4248085,7917878687.867408,6273947300.007627,9494173628.109457,10685934798.753323,14322280850.439392,
EYPT,318654353.90476847,1216988537.8354714,1732259325.4372556,376283361.00432247,410182761.73159516,1345806234.7359176,1393265318.1645284,1633951140.9177356,579679765.3679588,366113534.320343,640698660.8138596,525440711.27272725,223058054.1991355,414928657.14286107,
C-PJ,,,,,,84929175639.56834,94879663951.97842,104572885876.97844,111324574900.89928,120193866628.59712,116348631678.41727,134095605902.69785,143962348928.23743,147517458157.3741,
TGT,11694275280.797585,16662235904.442951,21047690687.045628,18315861069.176186,21644236105.50011,23697572964.833668,29344272174.413456,28875271879.97181,29665989872.152035,27934836777.372124,29239547874.92234,58529602770.894936,82217710010.10005,109271846828.86125,
TAOP,667811531.7939758,1142699683.694458,966471679.0763855,116867015.11545181,84403956.58969879,670594084.5115662,361731234.10301214,155822686.82060245,66781154.65364456,137272369.76909637,111301917.05150604,51940894.37832832,43902422.67317772,29216753.778862953,
RBSH,,33923140696996.754,35662790127386.37,34966929839772.727,38272261695681.82,22615427131331.168,11133749138084.416,2696454909649.9595,318949878489.6256,14497721063.105597,2377626303.4285507,118301696.50672317,4701088.437766997,274223.54047730874,
DBX,,,,,,,,,,,7813862417.488554,6850037817.643347,8487009722.324716,9385814391.319168,
BLXX,,39681001.57678125,42326399.053931236,26454000.394195314,13227000.197097642,23808600.94606874,26454000.394195314,5290799.881741388,26454000.394195314,76716597.7925062,34945734.25859211,71425802.83820628,1058160.0502599017,105815.99732684974,
CNVY,,,,,,,,,,,,,,611903485.2799,
HUDI,,,,,,,,,,,,,,420131245.04212236,
VRPX,,,,,,,,,,,,,,40182450.78206062,
CAT,16326599450.364035,21749875320.615623,36655095647.13056,36122556311.871704,36698825976.62313,37954038308.87381,39531318162.16459,30449532427.590263,43834347916.92777,76724846586.4675,63253416485.47838,75596450558.92119,95981734071.7726,111294332379.96758,
IPTK,5285560.0045578955,3964170.003418415,2378501.9528254434,5814116.103464929,5285560.0045578955,10571120.009115817,6606950.251825455,5232704.49311843,9249730.254104415,10571120.009115817,5351629.639985315,8279830.093196021,26427801.00730185,34356139.53737027,
TKOI,19083541.166519,24535982.37032113,14994210.771465478,19083541.166519,17720430.3577704,29988421.54293097,19083541.166519,25899091.14787745,19083541.166519,16357320.564617934,14994210.771465478,8178660.28230896,4089330.14115448,2726220.0941029824,
ABCB,715852541.0425633,446051046.3459987,664818787.057639,648418944.0178301,787816514.102756,1331529575.0717602,1627771500.8956335,2173165580.4750776,2811794731.1267886,3135141081.463839,2078896250.9648933,2828544219.1310015,2593782296.588491,3424366599.107435,
APOG,206835447.4890769,286978890.00656,283571867.5460317,265129905.4931428,529553148.5301608,803932436.3666645,959995341.2814695,994495584.2946473,1239101787.312234,1069041901.6096065,708109509.8660235,785208345.7066857,789743665.1461039,1219865820.5993466,
NOTV,33244557.11570978,25236743.074321743,61150571.53716087,30332625.0,33001896.347129345,65761131.92567825,52900099.61993694,36884471.53716087,18684896.537160873,59451946.15709782,30817946.537160873,120117190.37160873,298473034.62839127,1020874819.594574,
PFGC,,,,,,,,3570849237.898797,3703560240.7106695,5107826596.514113,4979745444.29536,7944136645.684581,7346937721.696198,7081515716.072452,
CFRX,,,,,,,1376644382.022472,1868303089.8876405,688322191.011236,397260250.95928925,601790265.9290828,244256047.56783903,198630125.4796446,103444996.63610137,
STIM,,,,,,,,,,,510220810.05859375,118392313.96484375,292948470.9472656,117601281.00585938,
CNTB,,,,,,,,,,,,,,296039513.1032913,
PPC,116038476.4905269,1639273681.1501606,1305893443.5141175,1060923296.6232189,1333521531.512984,2993056035.1702533,6039526807.595029,4819961727.382631,4627406819.003881,7568575832.504909,3779414517.478615,7973078388.172184,4778486131.580819,6871662843.5565815,
BMXC,,,,,,,,,44036363.54637146,6290908.618450165,3931817.752480507,786362.840026617,2359090.865969658,84337.50335127111,
OMQS,,,,895114.8418894617,1491858.1253918156,30583090.403435275,56690607.20875974,37296452.57903495,9846263.872120583,14023466.13414847,32820878.98092413,37296452.57903495,37594823.915117875,46098414.10721511,
SALM,12476847.1713824,99648404.57876188,56115942.74469079,45494617.21355543,99504910.53852028,162740964.12228924,150665216.50672877,100423676.44151896,131803448.31024484,99055493.61259302,49364616.67177087,37779703.85794158,28064919.924713265,82575631.26321669,
PLX,838241471.2809312,3015846956.0403256,4546549082.952049,2245940475.618517,2364387746.7650895,1772151912.3861687,838241471.2809312,464677338.28499794,205004711.90039572,300673573.1092975,141225463.8534342,149425655.37068135,165370472.81319198,37811979.43465404,
VRNA,,,,,,,,,,712383460.8894,579100324.9885402,345059792.7786499,420072791.2087912,403269866.96975684,
INDT,363936706.29793584,287614650.7182737,319703516.7790918,261252443.57335943,266584125.6992369,329576985.66688764,301733741.6942441,256908125.80108964,313285716.3994178,362356954.38074684,314964222.2167957,390496401.8378633,617092882.4849725,824704396.4008633,
SXI,212113447.1489276,220291458.09490374,330566094.4646261,380455790.02709144,574783613.2840219,708885423.2074394,876371364.9917408,949217626.425677,1010522921.2639154,1179615139.1127143,784271682.9036084,937106160.5045346,929752085.1045899,1340565537.8816268,
CVGW,158438648.8582693,240803830.76294124,334465034.5690954,380831852.3045212,384021012.2622779,471829544.62210923,749188476.1205136,788375797.9388587,1001840563.983526,1395523365.6715496,1218830760.6927226,1533165814.101775,1193744622.0427423,749547236.8063717,
NCRA,,,,,,,,,,,,,,74495828.5920143,
G,1295951471.71032,2349108445.3414717,2398422507.617811,2358975095.843796,2781452250.558757,3296470279.586471,3396961471.093347,4482624461.44059,4367777180.463594,5745555008.34611,4934285480.318113,7779515491.419295,7707440554.663741,9982225218.761917,
SVBL,66331772.0034577,212814434.6629578,345477986.90671027,149246496.27422154,118844429.47274923,96733834.68651146,41457360.07617265,8291471.500432209,30402062.68305376,33165886.00172885,30402062.68305376,19346767.349144146,23492503.35676141,9673383.674572073,
FPAY,,,106999006.28930816,171198410.06289306,64199403.7735849,134818752.00621647,213998012.57861632,128398807.5471698,128398807.5471698,81319243.75945216,16263848.751890432,54141496.5701367,54997487.80411354,50289530.91513076,
FLXS,32151822.029972076,50535735.44917107,89155151.89316751,71236213.52919577,113651497.06399918,166875335.87804797,178551531.00994107,249605665.9262085,353994943.51242065,273191966.4588165,132626593.32994461,125304425.05395892,226706255.81558228,177373488.3849716,
TDS,2513433119.0027356,2724531014.5597634,2975735011.8862696,2144897941.352443,2036551544.6813931,2421548725.6801357,2423423609.312656,2537554579.860888,2890687490.0222316,2848517922.3925524,3406372592.3501554,2725674102.8888083,2062873423.2263467,2311204932.5604396,
BFIN,98509759.72944762,98406542.54679078,99866015.39794785,58045603.41527605,78349814.54487872,97172483.25577055,126759452.13685122,137237690.1820646,163798202.58655262,172706518.61914393,172342601.8991882,155131391.58358282,109005716.75601408,137593222.36616915,
CABO,,,,,,,,2479533813.218705,3598122143.8271995,4109786462.4737864,4839878070.58954,8848405861.98207,13310131000.441305,10593591073.205973,
RGR,71203680.80800225,118790257.34083666,191392359.51012444,425826424.0312271,594763927.2353181,992925936.3456775,484098313.1561482,849942955.0526788,772078617.3738284,838825126.3897774,815008524.5279472,732402628.6293539,1095084878.0110633,1196920676.5465052,
CRVL,194741695.8536064,297162729.44729793,428378566.58170015,458148003.82266384,397191572.49862343,827519338.8847759,659534695.9370828,778257971.1953423,648548309.3294518,937382731.7887083,1093672243.5057411,1548010466.145899,1878309389.480726,3685739179.358406,
SILC,25237293.85802923,49753522.55227672,111945414.25766267,105395758.16157854,107799291.20662627,280135893.2662493,219136107.59134582,198185479.88018703,276867864.31450814,482471118.8819883,240444160.38236985,228883019.0344326,287996226.119523,355092123.5399666,
PUBC,,,,,,,,861523957.8947369,43076198.536622204,23907290.13968391,32307149.704823352,47383817.42745638,15076669.327346426,64614299.40964673,
INDI,,,,,,,,,,,,1294186521.332225,1719512209.6048267,1559527275.5792775,
NRDY,,,,,,,,,,,,,931015790.1587247,377438820.8768267,
ORGS,,,,,160216967.53108096,186434288.01748422,168956078.21833682,93217144.00874212,90304110.97144493,139825724.6946364,113608392.63286883,113122887.12665264,109238843.07692307,69912862.3473182,
GS-PK,,,,,,,42736170562.432655,48701031527.499306,50355942337.34223,56027432660.04433,52802506853.74817,62703729027.937515,68211417699.302216,68552086450.88178,
UTGN,26279792.18210086,28496159.542614054,32295646.877716918,37994879.39015207,41952679.32662624,40369559.35203657,45118919.275805585,46702039.25039525,56200759.09793327,79155998.72948349,102902798.34832853,112401518.19586654,83905358.65325248,86121729.0333274,
SLB,43147428919.52372,67396228518.584076,87615548665.56131,72583456700.43503,74765226388.52043,98737848951.9638,95154021725.86755,79628887190.58865,98362942478.55226,81278116112.67278,44980189081.8957,52954560207.92981,29753559673.709854,41534552035.179474,
CGEM,,,,,,,,,,,,,,674051889.2960539,
XPL,93054600.00000001,142683717.04187396,225192139.0995026,88712048.74606134,104221148.74606134,52730941.47906304,57073489.035344124,30397836.591625214,38462568.295812614,37221841.47906304,14268372.258836031,18610920.739531517,34740384.14790631,31018200.000000004,
FZMD,63369480.876941495,44934722.24892366,75275234.9774625,75275234.9774625,32260772.027396917,53768001.323149934,36562247.524752475,12431164.289172623,11699918.94640722,109686742.57425743,36562247.524752475,21937349.38656339,13893653.885063559,31443533.394314274,
CETX,,,,,,,,389989888.1256112,1219544683.0759513,423790568.77897364,95431849.55551416,27016855.327852998,28055966.672727935,17041401.52938246,
IRCC,,,187042718.44660193,9352136.29395059,311737.8571097847,389672.3359036571,1246951.4284391417,732583.9554981396,545541.2644585501,14893276.560364418,3740854.2853174265,1870427.1426587126,1106669.4537087255,7793446.601941748,
ECDD,2157320.2723959214,943827.6191732158,10651768.936804067,296631.5007147581,202248.77553711768,20224.705049427943,18876.54532255686,9438.272661278419,16179.841250278367,77048.69680028895,45266.10858084066,36212.885716557495,10170.427770977434,100163.30067385799,
FMBH,295453749.28249335,237934206.15733007,239532899.89817896,261984942.71928373,329130528.3489636,324880271.4442393,281411723.9410342,405450813.36974674,542737161.2877104,626234878.2454239,528657271.012222,596794762.6586142,586140277.4948914,760842148.3891356,
BSVN,,,,,,,,,,,111225893.68288329,162974487.89968872,127229807.91370216,208642669.012395,
WMS,,,,,,,1480501574.565928,1558707262.8590722,1350180637.8673651,1583388326.8255267,1627463664.4606247,2729969312.4672246,5915735037.415419,9670008114.313202,
AYRO,1342165367844.233,1928085134262.2678,1859954915468.3823,1144587690138.4478,265707860496.7394,221909862700.6702,27252087967.590813,6149415964.684533,5618530805.386518,4512521041.304134,232262116.55643192,162214810.1680194,224151366.37927502,59355872.96145354,
DQ,,,746898175.3282872,122767710.5785151,117033653.41328074,533708760.36144537,387269659.5221813,244800285.84773102,283762492.2946035,873929654.92643,344043640.23816025,752779257.8026806,4216740200.4059563,2964068371.4155755,
VACC,,,,,,,,,,,,,,387507900.025177,
BAH,,,1079069733.7001274,958000750.9322116,1343055016.9517527,1997568941.6008978,3123747724.280974,3701843602.991139,4417097542.738894,4760356240.542945,5722631680.429303,9165280445.745193,11406815166.769176,11288510123.6121,
CRTO,,,,,,2076702649.268735,2454395187.3781056,2404602921.2771544,2494472126.648671,1580601467.2666812,1379610576.3996422,1052317425.454177,1245414352.679694,2360275671.291537,
BOTY,,4712425600000.0,271161925021.3623,55285437489.31885,5265280078.458786,53969118744.659424,28959040627.670288,1694761952.9247284,13064475.873485193,658159.983373233,329079.99168673996,329079.99168673996,987240.0468912673,2797180.0370840253,
SPIR,,,,,,,,,,,,,1392000517.0155666,470026153.76962864,
WES,,,,,7009372312.942547,9403149505.624172,14627297840.311533,9049880554.064713,11063283945.813053,10177467837.317755,8009065866.453402,6194862125.112209,5009544714.145085,8631930584.674572,
LOGC,,,,,,,,,,,342750707.42797846,237288953.71398926,251460387.77160645,76130206.11419678,
INO,437602862.04493195,959360143.7877035,967775575.7255013,361863924.444821,420771998.1693364,2440477669.638041,1931343535.8019652,1413793869.708231,1460078845.6859806,868894200.2964464,841543996.3386728,694273786.9474188,1861916172.155203,1049826087.2789606,
OSS,,,,,,,,,,,36212042.13313339,37705320.75295041,74664002.1959923,92396699.15728341,
ATXG,,,,,,,,,,,2135439821.2029932,109441288.29101075,186850984.3552619,200197483.2377806,
ENZ,237027104.66850317,260778299.60323226,255931124.03894764,108576836.64917901,130873867.3580446,141537665.15604892,215214803.07264417,218123108.41121495,336394307.7455414,395045166.74311984,134751607.80947232,127480844.46304536,122148939.78575413,155594485.8490525,
LZB,82457432.38955237,362128732.88121754,342749272.2667081,452185753.4185897,539173686.9652252,1191089392.8723743,1042228812.981687,960509959.5985003,1240140602.4443138,1266783880.184927,1143244429.913927,1320415879.104133,1689170845.2047741,1565052389.8597887,
CLR,3598448235.613718,7452314927.479549,10225432031.547901,11591138809.657902,12769191559.772837,19550817229.852615,13330416251.730783,7985741347.001557,17910578636.792645,18407516413.0789,13966356304.320196,11938228399.459131,5683274670.7491045,15798321939.821514,
ARKO,,,,,,,,,,,,1250625766.8715332,1119851985.2156057,1091233602.5520465,
NFG,1937814960.5830774,3196860559.3104277,4305538716.370628,3731334421.437556,3503528935.2626524,5051029867.027491,5025289772.857161,3184549353.515683,4345927653.106087,4337330576.44786,4175011618.929504,3926871475.75317,3629316752.441914,5830694693.084028,
HVBC,,,,,,,,,,31940860.0166893,32589438.4041214,36984010.0,37353850.26597977,47426552.34020233,
PNR,2024414093.8758006,2837110807.352705,3280188512.9502187,3054841338.2543015,4609178914.713844,7406822490.86894,6431898397.680507,4900177821.925977,5684123377.887715,7313741119.46705,5933611702.670494,7338730351.846109,8651499246.57306,12046580027.35989,
ICD,,,,,,,998382451.0920198,965868065.9626081,1281448721.1781137,761218777.9883753,596734344.4541036,190687225.25864956,28115368.011856258,28689150.474136874,
AGL,,,,,,,,,,,,,,10628685067.064083,
EGAN,7847074.905422446,32643830.409188762,42374205.23763659,216893145.596402,141247348.29760402,321416180.94189173,162591386.65219435,133714163.57261012,65915426.21212703,164788573.01387137,206221133.9026606,248595335.39852032,370695831.70321107,313255215.8560408,
ZDGE,,,,,,,,,45028491.665405996,39547387.3245984,35217169.810028076,22154591.9845472,86892037.69883291,122281841.9047619,
AAPL,42700322655.89607,105427527295.7024,161375718661.9076,202620170789.3189,268607294983.0116,290282669859.8313,408202636031.7129,395900652498.8007,445310706336.6991,661127457061.2006,625491490385.4293,1181915181748.0664,2154710599991.6628,2901278897869.018,
CIM-PC,,,,,,,,,,,2740869420.2483263,3130623994.9285436,2873005792.711998,3557808238.187835,
VERI,,,,,,,,,,809137166.2975607,132531081.56184797,86842736.44576335,992239320.7530062,784025971.1125525,
ENLC,911188565.7936368,1456633967.286797,2151508297.4963646,3170889464.250323,3721315306.511875,9607615301.497198,9647277339.963915,4247370145.4114604,5752620125.090208,5634818333.143042,3247918420.0560102,2358941503.242137,1663077018.1299815,3313971094.0206265,
SGFY,,,,,,,,,,,,,,2423386481.538035,
ROVR,,,,,,,,,,,,,,1710666639.3770857,
CCJ,5611627061.218315,10595226426.763899,13429800827.057373,6112265672.659514,6807223939.998468,7307097806.287005,5884912441.901929,4523963998.17551,3955045220.148551,3597865967.8764343,4446183533.494743,3508879235.1447206,5314973877.162707,8679550825.602829,
OI,4200730718.3236914,5052250265.927218,4718713493.700048,2978783762.069023,3269284399.8520427,5499529453.008058,4148471700.4307146,2677523941.113077,2675986744.017643,3407618378.747322,2649857683.7568216,1863215092.3760433,1866241327.6386442,1886628856.5415537,
SKE,209083202.06456426,1424379242.9906194,1241431493.7595794,196015499.01467043,214310277.0533569,214310277.0533569,167266555.4204865,143744702.39300746,133290536.83750997,143221985.54738083,57497879.39941175,134597305.5847081,710882883.903936,681480571.5140651,
NOVT,60875490.228708066,92915216.12070219,376644834.858152,364184925.89505446,308293406.0416895,400140632.1480882,524027609.60937154,484867924.82579726,747593722.9733521,1779985054.6984572,2242781168.920056,3148437651.663964,4208596706.7856984,6277295359.0845785,
BCLYF,26804389136.80323,54463784890.481804,51824182228.33807,34439306344.571915,57085313729.43777,61220921332.52383,50552790614.2034,45455964392.14568,39356239019.24344,40798151820.305336,28852633844.581223,37314216281.67957,31789108752.310383,42499831372.613014,
KFY,569497076.2965637,822828426.7814227,1152458732.0185287,850754769.6880877,790912724.9302061,1302562643.5148642,1434215225.0116844,1674153816.5714188,1509137706.664339,2151846182.709209,2072488681.3776276,2244053533.9529867,2333960968.598313,4089992750.15625,
IOVA,,,19612375963.02003,15689900770.416025,3451778169.491525,1647439580.8936825,1234795172.6760747,1211260306.5573952,1090448073.6178029,1255192061.633282,1388556278.0340397,4342964581.132933,7280114196.881922,2995202081.0133076,
VHI,893701789.7366227,1214292217.9892821,1964879426.4469774,5433783373.364351,3417612438.3107147,4865189547.906564,1798944438.5811872,385394417.8270128,1033029320.9962808,1888114753.2610075,603762271.7181091,605935769.6206746,424090004.76909065,812966636.0153255,
CRVS,,,,,,,,,665643569.6228446,482242451.80291176,170833001.30885345,253223846.75091532,165712660.0113087,112181890.80606319,
PCG-PG,,,,,,,,,,,,,,,
BLMN,,,,,1249323364.5351055,1917919538.025358,1977829201.9738283,1364803035.7822723,1480139544.1516898,1782872854.9079397,1519868349.2178237,1912562761.0491254,1700456148.1003869,1837053109.847606,
SFBS,,,,,,,826503746.3384607,1199972337.988633,1904565474.3851426,2122022208.0122435,1650597457.867219,1986966165.1526449,2170779813.743152,4604691008.294199,
ROCK,390202776.873389,514061115.35229325,443471670.7855587,456216999.2859159,521250790.23708683,607526795.35552,531381697.17322165,831386867.7482072,1361134574.8185623,1078449923.7317784,1163091907.5809815,1648394323.3941,2351020913.5211673,2179122461.9258113,
HHC,,,3000071175.061412,2435008136.1227717,4025453776.2361374,6620884889.20126,7189806878.411329,6238296151.767724,6290116281.042056,7236666101.042444,5381605406.164103,6990243420.668791,4351261057.15809,5610938089.112251,
UBOH,21765294.86637206,22878123.16384218,24780861.697770976,17920482.688351795,25571335.760903023,38137982.74922304,39414904.91265031,50914766.84541386,61193848.7576887,64475932.24060156,59416304.73479502,69076339.32034221,79290754.53016816,97716628.95793223,
AEY,22676665.63551426,25097209.364485737,40002659.336447716,26753368.78504753,25352003.121495247,34269793.72897148,31084868.72897148,23058856.27102852,22549268.757009506,18727359.36448574,18345168.72897148,31339662.485980988,38091703.12149525,22039681.242990494,
YTFD,,,,,,,,,,51989.99883793252,51989.99883793252,51989.99883793252,9358199.752092361,10398000.0,
CLCN,,8564264.26919798,19763687.5,7905475.314135352,6719653.624345859,22398846.461604036,19763687.5,4216253.239092727,1976368.828533837,1870962.4779230603,1581094.9646597716,1054063.309773181,2766916.163612777,2108126.6195463636,
CAHO,,,,,,,,,,,,,,7705000.0,
MEDP,,,,,,,,,1296326974.566591,1303155373.4303927,1902261927.9163163,3021049161.05234,5002736690.610135,7821807716.675463,
ABG,105730152.57873195,266754613.8311419,427547723.8210312,498805677.7912031,741036440.005322,1243312552.2137551,1756462295.1122324,1560271658.6874304,1427472702.3482575,1480684794.499443,1542225840.9962897,2586339914.57344,3371797032.5623956,3996229347.3081384,
CCL,20983971537.917526,27343009999.284367,40229660167.49895,29271685464.28274,34429018636.2157,38691266430.32178,44778985437.05863,55051365053.10969,54462214745.57277,71217017659.10248,54552240249.609375,58571974171.10468,25250361732.587223,23455092466.738914,
VRDN,,,,,,,12414295220.369446,3655863383.1559057,1632430979.4461505,3398453979.5999603,987278612.8384023,156400565.56224167,357331873.7470394,429449907.59320617,
A,3081741054.659582,6126018842.6881075,8168686203.911596,6887092033.833021,8152792051.014049,11506165117.60728,11596235248.14684,11998038834.33481,13217366265.025892,19603720191.92588,19930195182.056015,25418891499.567047,35533303001.278595,48151040416.23739,
NI-PB,,,,,,,,,,,8222297266.260116,9735212618.852907,10550088948.059782,10689749065.486586,
TROX,,,1978588691.1506202,2499269894.771519,1954692977.7910702,2586546440.0612907,2787386062.6178865,505813020.62207776,1427971263.0065136,2861500706.065427,1092365363.8364668,1632581637.7888474,2163352321.9536743,3619118006.9583197,
AVB,5441154210.776525,7813486021.927856,11097881759.584827,13254345445.226803,14158208629.318296,12768422671.431318,18225348278.792927,21144654789.63352,20965916559.5592,21781623894.976933,21999478770.809837,27300676629.574574,21765800257.573036,35297176632.67555,
INDP,,,,,,,,3513406907.6211653,3736272377.5280895,3375754867.41573,4942367420.468722,327743191.01123595,113071402.46167772,46703403.1562998,
PACK,,,,,,,,,,,816438955.9615482,663407513.1394607,1094011916.0183935,3059000825.2064514,
